argument,topic
Η υποβοηθούμενη αυτοκτονία είναι ένας συμπονετικός τρόπος να βοηθήσουμε τους ανθρώπους που επιλέγουν να τερματίσουν τη ζωή τους με έναν μη βίαιο τρόπο.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία είναι μια μεγάλη βοήθεια για τους ανθρώπους που πάσχουν από θανατηφόρες ασθένειες και βρίσκονται στο νεκροκρέβατό τους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία είναι ανθρώπινο δικαίωμα και θα γλίτωνε τον θανάσιμο πόνο.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία είναι ένας ανθρώπινος και στοργικός τρόπος να επιτρέψει σε ένα άτομο να βοηθήσει ένα άλλο άτομο του οποίου η ζωή είναι πολύ δύσκολο να ζήσει σωστά με οποιονδήποτε τρόπο, έτσι δεν θα πρέπει να ποινικοποιηθεί.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία είναι ένας ανθρώπινος τρόπος να τερματίσουμε μια ζωή όπως κάνουμε με τα ζώα που υποφέρουν και δεν θα πρέπει να αποτελεί ποινικό αδίκημα.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία είναι πολύ καλύτερη από το να αφήσουμε ένα άτομο να υποφέρει μέχρι το τέλος της ζωής του.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία είναι μια προσωπική επιλογή για το πώς ένα άτομο θέλει να ζήσει τη ζωή του και ως εκ τούτου θα πρέπει να είναι νόμιμη από το σύνταγμα,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία είναι απαραίτητη στον σύγχρονο κόσμο μας, γεμάτο ανθρώπους που αντιμετωπίζουν πόνο και θλίψη",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία είναι μερικές φορές η μόνη λύση για μερικούς ανθρώπους, δεν πρέπει να την αφήσουμε.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Αν ένα άτομο που είναι σε τελική φάση της ασθένειάς του θέλει να βάλει τέλος στη ζωή του, ας του επιτραπεί να το κάνει με τη βοήθεια ενός επαγγελματία, αντί να το κάνει χειρότερα από μόνο του.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία θα πρέπει να επιτρέπεται, διότι επιτρέπει σε ανθρώπους με ανίατες ασθένειες να πεθάνουν με αξιοπρέπεια πριν υποστούν έναν μακρύ και επώδυνο θάνατο.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία θα πρέπει να επιτρέπεται σε ορισμένες περιπτώσεις, όπως όταν ένα άτομο πάσχει από σοβαρές ασθένειες.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία θα πρέπει να νομιμοποιηθεί. Πολλοί άνθρωποι υποφέρουν από εξουθενωτικές και επώδυνες ασθένειες και θα πρέπει να λαμβάνουν συμβουλές και υποστήριξη για να κάνουν μια ενημερωμένη επιλογή.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία θα πρέπει να νομιμοποιηθεί, έτσι ώστε όσοι έχουν μια θανατηφόρα ασθένεια ή είναι σε ανίατο πόνο να μπορούν να κάνουν μια ενημερωμένη επιλογή να τερματίσουν τη ζωή τους με αξιοπρέπεια, περιτριγυρισμένοι από εκείνους που αγαπούν.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να θεωρείται ποινικό αδίκημα, επειδή ένα άτομο μπορεί πραγματικά να υποφέρει και να πονά και το να το αφήσουμε να υποφέρει είναι απάνθρωπο και απάνθρωπο",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα έπρεπε να είναι έγκλημα, αφού ο δράστης απλώς υπάκουε στις επιθυμίες κάποιου άλλου.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να είναι έγκλημα. Αν κάποιος υποφέρει σε καθημερινή βάση από κάτι που θα πεθάνει έτσι κι αλλιώς, θα πρέπει να του επιτραπεί να πεθάνει με τους δικούς του όρους.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινική υπεράσπιση γιατί σε ορισμένες περιπτώσεις, όπως σε άτομα με καρκίνο σε τελικό στάδιο, τους κάνεις έλεος και τους σώζεις από τα βάσανα.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, καθώς δεν θα πρέπει να αναμένεται από τους ανθρώπους να ζουν σε φυτική κατάσταση και να χρειάζονται βοήθεια για να κάνουν τις δικές τους αποφάσεις για να πεθάνουν πραγματικότητα.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, καθώς οι άνθρωποι χωρίς ποιότητα ζωής δεν θα πρέπει να υποφέρουν επ' αόριστον και ο έμπιστος βοηθός τους δεν θα πρέπει να θεωρείται εγκληματίας επειδή τους βοήθησε.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, διότι ένα άτομο θα πρέπει να μπορεί να αποφασίζει πώς και πότε θέλει να πεθάνει.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, γιατί αν κάποιος δεν θέλει να ζήσει, δεν θα πρέπει να αναγκάζεται να το κάνει.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, διότι βοηθά στην ανακούφιση των δεινών εκείνων που δεν θα αναρρώσουν ποτέ από τις ασθένειες ή τους τραυματισμούς τους.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, διότι είναι μερικές φορές ο μόνος τρόπος για ένα άτομο που πάσχει από μια εξουθενωτική ιατρική πάθηση, όπως η νόσος του κινητικού νευρώνα, να θέσει τέλος στη ζωή του.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα αν οι ασθενείς ζητούν να γίνει σε αυτούς,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, διότι αν ένα αγαπημένο πρόσωπο είναι ανίατα άρρωστο, του παρέχει την ευκαιρία να πεθάνει με αξιοπρέπεια αντί να υποφέρει μέχρι να πεθάνει φυσικά.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα έπρεπε να είναι ποινικό αδίκημα, γιατί αν ένα άτομο δεν θέλει να ζήσει, γιατί θα πρέπει να αναγκάζεται να το κάνει;",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, γιατί αν κάποιος έχει αρκετό πόνο και είναι αρκετά λογικός για να αποφασίσει, θα πρέπει να έχει αυτή την επιλογή.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, επειδή βοηθά τους ανθρώπους που υποφέρουν συνεχώς από μια ανίατη ασθένεια",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, γιατί όταν ένα άτομο αρρωσταίνει σοβαρά δεν θα πρέπει να συνεχίζει να υποφέρει.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα έπρεπε να είναι ποινικό αδίκημα, γιατί όταν αρρωσταίνεις τόσο πολύ που δεν έχει απομείνει καμία ελπίδα, θα έπρεπε να μπορείς να σταματήσεις τον πόνο.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, καθώς θα πρέπει να είναι μια προσωπική απόφαση του ατόμου τι θέλει για τον εαυτό του.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, επειδή κάθε άνθρωπος θα πρέπει να έχει το δικαίωμα να έχει κάποιον να τον βοηθήσει στο πέρασμά του, αν αποφασίσει ότι δεν επιθυμεί πλέον να ζήσει",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα, επειδή επιτρέπει στον ασθενή να έχει τον έλεγχο των τελικών αποφάσεών του",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
η υποβοηθούμενη αυτοκτονία δεν θα έπρεπε να είναι ποινικό αδίκημα γιατί μερικές φορές το άτομο είναι σε τέτοιο πόνο ή δεν έχει ζωή απλά ξαπλωμένο σε ένα κρεβάτι,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα αν πάσχουν από ανίατη ασθένεια, θα πεθάνουν έτσι κι αλλιώς",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία είναι μερικές φορές το μόνο πράγμα που τελειώνει τον πόνο.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία συνήθως περιλαμβάνει έναν ασθενή σε τελική φάση που έχει κουραστεί να παλεύει και να αγωνιά.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία θα ανακουφίσει πολύ τον πόνο εκείνων με μια θανατηφόρα ασθένεια που είναι πάρα πολύ για να αντέξουν.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία θα σώσει τους θανάσιμα άρρωστους από τον πόνο και την ταλαιπωρία.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Οι υποβοηθούμενες αυτοκτονίες είναι λιγότερο επώδυνες και αποτελούν πράξη ελέους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"η υποβοήθηση σε αυτοκτονία για ιατρικούς λόγους δεν θα πρέπει να θεωρείται ποινικό αδίκημα, επειδή το άτομο κάνει σωστές κρίσεις βασισμένες στον πόνο κάποιου άλλου.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία επιτρέπει σε όσους πάσχουν από μια επώδυνη και ανίατη ασθένεια να έχουν τη δυνατότητα να επιλέξουν να τερματίσουν τη ζωή τους, να σταματήσουν τον πόνο και την ταλαιπωρία που θα διαρκούσε για το υπόλοιπο της ζωής τους.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Όταν κάποιος νομίζει ότι έχει έρθει η ώρα του, θα πρέπει να μπορεί να πεθάνει άνετα χωρίς να ανησυχεί αν έχοντας τους αγαπημένους του κοντά θα τους φέρει φυλάκιση.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Ο θάνατος με αξιοπρέπεια σημαίνει να έχεις την επιλογή να αποφασίζεις για τη μοίρα σου. Είσαι σε θέση να πάρεις τον έλεγχο της μοίρας σου και να αφήσεις τον κόσμο με τον αληθινό σου εαυτό ανέπαφο.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Ο καθένας θα πρέπει να έχει το δικαίωμα να επιλέξει την κατεύθυνση που θέλει να πάρει, αν κάποιος έχει αφόρητο πόνο χωρίς ποιότητα ζωής, τότε θα πρέπει να έχει το δικαίωμα να ζητήσει βοήθεια.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"για όσους πάσχουν από εκφυλιστικές ασθένειες, η υποβοηθούμενη αυτοκτονία είναι συχνά η μόνη παρηγοριά που έχουν",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"αν ένας ασθενής πάσχει από καρκίνο ή άλλες επώδυνες καταστάσεις, θα πρέπει να έχει το δικαίωμα να δώσει τέλος στον πόνο του",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Αν ένα άτομο έχει ήδη διαγνωστεί με μικρό μόνο χρόνο ζωής και υποφέρει από βασανιστικό πόνο, ο υποβοηθούμενος θάνατος είναι μια συμπονετική υποστήριξη για το άτομο.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Αν ένα άτομο έχει μόνο εβδομάδες ζωής, τότε η υποβοηθούμενη αυτοκτονία μπορεί να είναι η απάντηση, αν όλες οι άλλες δυνατότητες έχουν εξαντληθεί.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Αν ένα άτομο ήταν ανίατα άρρωστο και καμία θεραπεία δεν λειτουργούσε σε αυτούς και έχουν μόνο εβδομάδες να ζήσουν, από την υποβοηθούμενη αυτοκτονία θα πρέπει να είναι μια διέξοδος.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"αν ένα άτομο που πεθαίνει ούτως ή άλλως θέλει να τελειώσει τη ζωή του με ειρηνικό τρόπο, τότε θα πρέπει να μπορεί να το κάνει.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"αν ένας ασθενής σε τελικό στάδιο δεν έχει στη διάθεσή του υποβοηθούμενη αυτοκτονία, μπορεί να στραφεί σε μια άλλη, πιο βίαιη μέθοδο για να τερματίσει τη ζωή του.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
αν οι άνθρωποι έχουν μια ασθένεια που τελειώνει τη ζωή τους θα πρέπει να τους επιτρέπεται να πεθάνουν,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
αν κάποιος πρόκειται να αυτοκτονήσει έτσι κι αλλιώς θα πρέπει να μπορεί να το κάνει με ασφάλεια με βοήθεια,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"αν κάποιος έχει μια ασθένεια και είναι σε συνεχή πόνο, βοηθώντας τους να τερματίσουν τη δυστυχία τους είναι το ανθρώπινο πράγμα που πρέπει να γίνει και θα πρέπει να γίνει κατανοητό.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"αν κάποιος πάσχει από μια ανίατη ασθένεια και έχει μεγάλο πόνο, μπορεί να είναι ανθρώπινο να βοηθήσει να τερματιστεί ο πόνος του.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"αν κάποιος υποφέρει τόσο πολύ που βλέπει την αυτοκτονία ως τη μόνη διέξοδο, τότε η ποινικοποίηση της συμπεριφοράς του είναι πιθανό να κάνει περισσότερο κακό παρά καλό.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Αν κάποιος θέλει να πεθάνει δεν θα έπρεπε να είναι υποχρεωμένος να μείνει ζωντανός, οπότε το να τον βοηθάς να πεθάνει είναι το καλύτερο που μπορείς να κάνεις.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"αν με εύλογο βαθμό βεβαιότητας η κατάσταση σοβαρότητας δεν μπορεί να αντιστραφεί από το φάρμακο, ο ασθενής πρέπει να έχει το δικαίωμα να τερματίσει τη ζωή του και αν χρειάζεται βοήθεια για αυτό δεν πρέπει να καταδικάζεται",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"εάν με εύλογο βαθμό ιατρικής βεβαιότητας η ιατρική κατάσταση ενός ατόμου είναι μη αναστρέψιμη, πρέπει να έχει το δικαίωμα να τερματίσει τη ζωή του ζητώντας βοήθεια χωρίς συνέπειες για το γεγονός.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
βοηθά να ανακουφίσει κάποιους ανθρώπους από τρομερή ταλαιπωρία,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
είναι πιο ανθρώπινο να βοηθήσεις το άτομο να πεθάνει παρά να το αφήσεις να υποφέρει από βασανιστικό πόνο,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Είναι άδικο να αναγκάζουμε κάποιον με μια θανατηφόρα ασθένεια να συνεχίσει να υποφέρει πολύ όταν απλά πεθαίνει έτσι κι αλλιώς.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Δεν θα έπρεπε να είναι προσβολή γιατί αν κάποιος είναι σοβαρά άρρωστος και υποφέρει έχει το δικαίωμα να βάλει τέλος στη ζωή του αν υποφέρει.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
πολλοί άνθρωποι υποφέρουν τρομερά αλλά είναι σωματικά ανίκανοι να πεθάνουν από μόνοι τους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Πολλοί άνθρωποι αντιμετωπίζουν μια σκληρή και παρατεταμένη περίοδο πόνου πριν από το θάνατό τους, έτσι με συμπόνια θα πρέπει να βοηθηθούν, επομένως η υποβοηθούμενη αυτοκτονία δεν θα πρέπει να αποτελεί ποινικό αδίκημα.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Οι άνθρωποι και τα μέλη της οικογένειας πρέπει να αποφασίσουν τι θέλουν να κάνουν με τη ζωή και το σώμα τους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Οι άνθρωποι έχουν ένα βασικό δικαίωμα στη σωματική αυτονομία, το να αποφασίζουν αν θα πεθάνουν με ελάχιστο πόνο και αξιοπρέπεια είναι αναπόσπαστο μέρος αυτού του δικαιώματος.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
οι άνθρωποι έχουν το δικαίωμα να πεθαίνουν με τους δικούς τους όρους και στο δικό τους χρόνο,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Οι άνθρωποι έχουν δικαίωμα στο σώμα τους και αν επιθυμούν να πεθάνουν θα πρέπει να μπορούν να λάβουν βοήθεια για να το κάνουν.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"οι άνθρωποι πρέπει να μπορούν να αποφασίζουν τι θα κάνουν ή δεν θα κάνουν με τη ζωή τους, επομένως η υποβοηθούμενη αυτοκτονία είναι μια εναλλακτική λύση",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Οι άνθρωποι θα πρέπει να μπορούν να ζητούν βοήθεια για να τερματίσουν τη ζωή τους, εάν ζουν με μια ανίατη ασθένεια.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"στους ανθρώπους θα πρέπει να επιτρέπεται να πεθαίνουν με αξιοπρέπεια, αν το επιλέξουν.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Οι άνθρωποι πρέπει να πεθαίνουν με αξιοπρέπεια αντί να υποφέρουν έναν μακρύ και οδυνηρό θάνατο.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
οι άνθρωποι θα πρέπει να είναι ελεύθεροι να βοηθούν τους άλλους να ξεπεράσουν τον πόνο τους βοηθώντας τους να αυτοκτονήσουν χωρίς το φόβο της δίωξης,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Οι άνθρωποι πρέπει να επιλέγουν τι θα κάνουν με τη ζωή τους, ακόμα κι αν αυτό σημαίνει να την τερματίσουν με όποιον τρόπο επιλέξουν",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"οι άνθρωποι θα πρέπει να έχουν το δικαίωμα να αποφασίζουν πώς και πότε θέλουν να πεθάνουν, ειδικά αν πάσχουν από μια ανίατη ασθένεια",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
οι άνθρωποι θα πρέπει να έχουν το δικαίωμα να πεθάνουν αν το επιλέξουν.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Κάποιοι άνθρωποι που υποφέρουν πολύ και δεν έχουν ελπίδα θα πρέπει να μπορούν να τερματίσουν τη ζωή τους. Μερικές φορές αυτό δεν μπορεί να γίνει χωρίς βοήθεια.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Οι άνθρωποι που είναι ανίατα άρρωστοι θα πρέπει να μπορούν να επιλέξουν αν θέλουν να υποφέρουν ή αν θέλουν να σταματήσουν τον πόνο.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
