key_point,topic
Η πνευματική ιδιοκτησία εμποδίζει τη συνεχή βελτίωση μιας υπηρεσίας/προϊόντος,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
Τα δικαιώματα πνευματικής ιδιοκτησίας βλάπτουν τη δημιουργικότητα/καινοτομία,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
Ο αθεϊσμός στερείται ηθικής,Πρέπει να υιοθετήσουμε τον αθεϊσμό
Οι άνθρωποι πρέπει να επιλέξουν οι ίδιοι αν θα υιοθετήσουν τον Αθεϊσμό,Πρέπει να υιοθετήσουμε τον αθεϊσμό
Ο αθεϊσμός κάνει διακρίσεις εναντίον των θρησκευόμενων ανθρώπων / παραβιάζει την ελευθερία της θρησκείας,Πρέπει να υιοθετήσουμε τον αθεϊσμό
Ο αθεϊσμός είναι επωφελής για το άτομο που τον υιοθετεί,Πρέπει να υιοθετήσουμε τον αθεϊσμό
Ο αθεϊσμός πρέπει να υιοθετηθεί αφού δεν μπορούμε να αποδείξουμε ότι υπάρχει Θεός,Πρέπει να υιοθετήσουμε τον αθεϊσμό
Οι θρησκείες είναι ανήθικες και οι άνθρωποι δεν πρέπει να τις ακολουθούν,Πρέπει να υιοθετήσουμε τον αθεϊσμό
Η επιστήμη μπορεί να εξηγήσει επαρκώς το Σύμπαν,Πρέπει να υιοθετήσουμε τον αθεϊσμό
Ο ελευθεριωτισμός βλάπτει την οικονομική ανάπτυξη,Πρέπει να υιοθετήσουμε τον ελευθεριασμό
Ο ελευθεριωτισμός βλάπτει τις μειονότητες/αυτούς που είναι χειρότερα,Πρέπει να υιοθετήσουμε τον ελευθεριασμό
Ο ελευθεριωτισμός είναι άδικος/μη ίσος,Πρέπει να υιοθετήσουμε τον ελευθεριασμό
Ο ελευθεριωτισμός αφαιρεί βασικούς νόμους/υποδομές/κυβερνητικές υπηρεσίες,Πρέπει να υιοθετήσουμε τον ελευθεριασμό
Η κυβέρνηση είναι απαραίτητη για την προστασία των δικαιωμάτων των πολιτών,Πρέπει να υιοθετήσουμε τον ελευθεριασμό
Ο ελευθεριωτισμός αυξάνει την ελευθερία στο πολιτικό σύστημα,Πρέπει να υιοθετήσουμε τον ελευθεριασμό
Ο ελευθεριωτισμός αυξάνει την ευτυχία/εκπλήρωση,Πρέπει να υιοθετήσουμε τον ελευθεριασμό
Ο ελευθεριωτισμός αυξάνει την οικονομική ανάπτυξη,Πρέπει να υιοθετήσουμε τον ελευθεριασμό
Ο ελευθεριωτισμός αυξάνει την ατομική ελευθερία/ελευθερίες,Πρέπει να υιοθετήσουμε τον ελευθεριασμό
Η κλωνοποίηση μπορεί να χρησιμοποιηθεί για την αναπαραγωγή οργάνων,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση
Η κλωνοποίηση βοηθά όσους δεν μπορούν να αποκτήσουν παιδί με άλλο τρόπο,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση
Η κλωνοποίηση προάγει την υγεία,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση
Η κλωνοποίηση προωθεί την επιστήμη/έρευνα,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση
Η κλωνοποίηση μπορεί να χρησιμοποιηθεί για να δημιουργηθούν πιο προηγμένοι άνθρωποι,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση
Η κλωνοποίηση δεν είναι αρκετά κατανοητή ακόμα,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση
Η κλωνοποίηση είναι ανήθικη/αντιθρησκευτική,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση
Η κλωνοποίηση είναι αφύσικη,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση
Η κλωνοποίηση είναι επικίνδυνη,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση
Η πρόσληψη ιδιωτικών στρατιωτικών εταιρειών είναι οικονομικά επωφελής,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες
Οι ιδιωτικές στρατιωτικές εταιρείες είναι καλά εκπαιδευμένες/καλύτερα εξοπλισμένες,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες
Οι ιδιωτικές στρατιωτικές εταιρείες μπορούν να συμπληρώσουν τους τακτικούς στρατούς σε συγκεκριμένα καθήκοντα που οι στρατοί δεν μπορούν ή δεν θέλουν να κάνουν,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες
Οι ιδιωτικές στρατιωτικές εταιρείες αυξάνουν την ασφάλεια,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες
Οι ιδιωτικές στρατιωτικές εταιρείες δεν είναι επαγγελματικές,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες
Το κύριο ενδιαφέρον των ιδιωτικών στρατιωτικών εταιρειών είναι το κέρδος,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες
Οι ιδιωτικές στρατιωτικές εταιρείες επιδιώκουν να εμπλακούν ή να παρατείνουν τη σύγκρουση,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες
Οι ιδιωτικές στρατιωτικές εταιρείες είναι λιγότερο ηθικές και παραβιάζουν δικαιώματα ή διαπράττουν εγκλήματα,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες
Οι ιδιωτικές στρατιωτικές εταιρείες δεν μπορούν να εμπιστευτούν ότι είναι πιστές στη χώρα που τις προσλαμβάνει,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες
Η δράση μπορεί να είναι το όνειρο του παιδιού,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
Οι παιδικοί ερμηνευτές επιτυγχάνουν επιτυχία/αυτοπεποίθηση,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
Οι παιδικοί ερμηνευτές είναι απαραίτητοι για τους ρόλους,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
"Οι ανήλικοι ερμηνευτές δεν πρέπει να απαγορεύονται, αρκεί να υπάρχει εποπτεία/ρύθμιση",Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
Οι γονείς πρέπει να αποφασίσουν για το παιδί τους,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
Το να είσαι ερμηνευτής βλάπτει την εκπαίδευση του παιδιού,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
Τα παιδιά ερμηνευτές χάνουν την παιδική τους ηλικία,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
Οι παιδικοί ερμηνευτές υφίστανται μεγάλη πίεση,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
Τα παιδιά ερμηνευτές τείνουν να αναπτύσσουν προβλήματα αργότερα στη ζωή,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
Τα παιδιά ερμηνευτές κινδυνεύουν από εκμετάλλευση,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών
Το κλείσιμο του στρατοπέδου κράτησης του Γκουαντάναμο θα βλάψει την εθνική ασφάλεια,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο
Το στρατόπεδο κράτησης του Γκουαντάναμο είναι καλύτερο για τους κρατουμένους από τις εναλλακτικές λύσεις,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο
Το στρατόπεδο κράτησης του Γκουαντάναμο είναι απαραίτητο για την απόκτηση πληροφοριών,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο
Οι κρατούμενοι έχουν το δικαίωμα να δικαστούν στα δικαστήρια των ΗΠΑ,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο
Το στρατόπεδο κράτησης του Γκουαντάναμο βλάπτει την εικόνα/φήμη/τους θεσμούς των ΗΠΑ,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο
Το στρατόπεδο κράτησης του Γκουαντάναμο είναι ακριβό,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο
Το προσωπικό του στρατοπέδου κράτησης του Γκουαντάναμο διαπράττει εγκλήματα εναντίον των κρατουμένων,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο
Άδικη μεταχείριση/τακτικές χρησιμοποιούνται στο στρατόπεδο κράτησης του Γκουαντάναμο,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο
Το στρατόπεδο κράτησης του Γκουαντάναμο είναι σύμβολο διακρίσεων/αδικίας,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο
Η υποχρεωτική ηλικία συνταξιοδότησης δημιουργεί ευκαιρίες για άλλους εργαζόμενους,Πρέπει να βάλουμε τέλος στην υποχρεωτική συνταξιοδότηση
η υποχρεωτική ηλικία συνταξιοδότησης ωφελεί όσους πρόκειται να συνταξιοδοτηθούν,Πρέπει να βάλουμε τέλος στην υποχρεωτική συνταξιοδότηση
Η υποχρεωτική ηλικία συνταξιοδότησης μειώνει τη θεσμική γνώση,Πρέπει να βάλουμε τέλος στην υποχρεωτική συνταξιοδότηση
Η υποχρεωτική ηλικία συνταξιοδότησης βλάπτει την οικονομία,Πρέπει να βάλουμε τέλος στην υποχρεωτική συνταξιοδότηση
Η υποχρεωτική συνταξιοδότηση δεν είναι δίκαιη/δεν εισάγει διακρίσεις,Πρέπει να βάλουμε τέλος στην υποχρεωτική συνταξιοδότηση
Η υποχρεωτική συνταξιοδότηση μειώνει την ποιότητα ζωής για όσους αναγκάζονται να συνταξιοδοτηθούν,Πρέπει να βάλουμε τέλος στην υποχρεωτική συνταξιοδότηση
Θα πρέπει να αφήσουμε όλους να συνταξιοδοτηθούν όταν είναι έτοιμοι,Πρέπει να βάλουμε τέλος στην υποχρεωτική συνταξιοδότηση
Τα πυρηνικά όπλα είναι απαραίτητα για την προστασία και την αποτροπή,Πρέπει να αγωνιστούμε για την κατάργηση των πυρηνικών όπλων
Τα πυρηνικά όπλα μπορούν να πέσουν σε λάθος χέρια,Πρέπει να αγωνιστούμε για την κατάργηση των πυρηνικών όπλων
Τα πυρηνικά όπλα προκαλούν ή κλιμακώνουν μια καταστροφική στρατιωτική δράση,Πρέπει να αγωνιστούμε για την κατάργηση των πυρηνικών όπλων
Οι πόλεις προσφέρουν περισσότερες ευκαιρίες,Πρέπει να καταπολεμήσουμε την αστικοποίηση
Η αστικοποίηση ωφελεί την οικονομία,Πρέπει να καταπολεμήσουμε την αστικοποίηση
Η αστικοποίηση ωφελεί το περιβάλλον,Πρέπει να καταπολεμήσουμε την αστικοποίηση
Οι περιορισμοί στη μετανάστευση θα ωφελήσουν τους ανθρώπους στις αγροτικές περιοχές οικονομικά/κοινωνικά,Πρέπει να καταπολεμήσουμε την αστικοποίηση
Η αστικοποίηση προκαλεί εγκληματικότητα,Πρέπει να καταπολεμήσουμε την αστικοποίηση
Η αστικοποίηση βλάπτει το περιβάλλον,Πρέπει να καταπολεμήσουμε την αστικοποίηση
Η αστικοποίηση προκαλεί πίεση στους πόρους των πόλεων,Πρέπει να καταπολεμήσουμε την αστικοποίηση
Η αποχή από μια ψηφοφορία αντικατοπτρίζει επίσης τις προτιμήσεις σας,Πρέπει να εισαγάγουμε την υποχρεωτική ψηφοφορία
Οι πολίτες έχουν το δικαίωμα να μην ψηφίσουν,Πρέπει να εισαγάγουμε την υποχρεωτική ψηφοφορία
Η υποχρεωτική ψηφοφορία μπορεί να κάνει τους ανθρώπους να ψηφίσουν με έναν μη ενημερωμένο / τυχαίο τρόπο,Πρέπει να εισαγάγουμε την υποχρεωτική ψηφοφορία
Δεν έχουν όλοι τη δυνατότητα να πάνε να ψηφίσουν,Πρέπει να εισαγάγουμε την υποχρεωτική ψηφοφορία
Η υποχρεωτική ψηφοφορία αυξάνει την εκπροσώπηση,Πρέπει να εισαγάγουμε την υποχρεωτική ψηφοφορία
Η υποχρεωτική ψηφοφορία θα κάνει περισσότερους ανθρώπους να ενδιαφέρονται για την πολιτική,Πρέπει να εισαγάγουμε την υποχρεωτική ψηφοφορία
Οι άνθρωποι έχουν την υποχρέωση να ψηφίσουν,Πρέπει να εισαγάγουμε την υποχρεωτική ψηφοφορία
Η κάνναβη βλάπτει το σώμα,Πρέπει να νομιμοποιήσουμε την κάνναβη
Η κάνναβη αυξάνει την έλλειψη κρίσης/τα ατυχήματα,Πρέπει να νομιμοποιήσουμε την κάνναβη
Η κάνναβη είναι ένα ναρκωτικό-πύλη/εθιστικό,Πρέπει να νομιμοποιήσουμε την κάνναβη
Η νόμιμη κάνναβη μπορεί να φτάσει στα χέρια ανήλικων εφήβων/παιδιών,Πρέπει να νομιμοποιήσουμε την κάνναβη
Η νόμιμη κάνναβη θα ενισχύσει τη μαύρη αγορά/εγκληματική δραστηριότητα,Πρέπει να νομιμοποιήσουμε την κάνναβη
Η κάνναβη είναι οικονομικά επωφελής,Πρέπει να νομιμοποιήσουμε την κάνναβη
Η κάνναβη είναι ασφαλής/υγιής/ανακουφίζει από τον πόνο,Πρέπει να νομιμοποιήσουμε την κάνναβη
Αν η κάνναβη νομιμοποιούνταν θα μπορούσε να ρυθμιστεί,Πρέπει να νομιμοποιήσουμε την κάνναβη
"Οι άνθρωποι θα πρέπει να έχουν το δικαίωμα να κάνουν ό,τι θέλουν με το σώμα τους",Πρέπει να νομιμοποιήσουμε την κάνναβη
"Το αλκοόλ και ο καπνός είναι πιο επιβλαβή ναρκωτικά, αλλά παραμένουν νόμιμα",Πρέπει να νομιμοποιήσουμε την κάνναβη
Η νομιμοποίηση της κάνναβης θα μειώσει τη μαύρη αγορά/την εγκληματική δραστηριότητα,Πρέπει να νομιμοποιήσουμε την κάνναβη
Η νομιμοποίηση θα οδηγήσει σε περισσότερα σεξουαλικά μεταδιδόμενα νοσήματα,Πρέπει να νομιμοποιήσουμε την πορνεία
Η νομιμοποίηση της σεξουαλικής εργασίας θα αυξήσει την ανήθικη συμπεριφορά όπως ο νταβατζής/το οργανωμένο έγκλημα/η εμπορία ανθρώπων,Πρέπει να νομιμοποιήσουμε την πορνεία
Η νομιμοποίηση της εργασίας του σεξ θα αυξήσει τη βία κατά των γυναικών,Πρέπει να νομιμοποιήσουμε την πορνεία
Το να πουλάς το σώμα σου είναι ανήθικο,Πρέπει να νομιμοποιήσουμε την πορνεία
Η νομιμοποίηση της εργασίας του σεξ ενισχύει την οικονομία,Πρέπει να νομιμοποιήσουμε την πορνεία
"Η νομιμοποίηση της εργασίας του σεξ αυξάνει τα οφέλη των εργαζομένων του σεξ (π.χ. υγειονομική περίθαλψη, ασφαλές σεξ, συνδικαλιστική δράση, κ.λπ.)",Πρέπει να νομιμοποιήσουμε την πορνεία
Η νομιμοποίηση της εργασίας του σεξ θα επιτρέψει τη ρύθμιση των επαγγελματιών.,Πρέπει να νομιμοποιήσουμε την πορνεία
Η νομιμοποίηση της εργασίας του σεξ θα κάνει το επάγγελμα ασφαλέστερο για τις γυναίκες,Πρέπει να νομιμοποιήσουμε την πορνεία
Η εργασία του σεξ είναι μια έγκυρη επιλογή για το σώμα σας,Πρέπει να νομιμοποιήσουμε την πορνεία
Η επιλογή του φύλου μπορεί να οδηγήσει σε ανισορροπία των φύλων,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Η επιλογή του φύλου είναι ενάντια στην παράδοση,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Η επιλογή του φύλου είναι ακριβή,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Η επιλογή φύλου επιβεβαιώνει τα στερεότυπα/προκαταλήψεις φύλου,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Η επιλογή του φύλου θα δημιουργήσει αμβλώσεις/βρεφοκτονίες,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Είναι ανήθικο/ανθυγιεινό για τους γονείς να παρεμβαίνουν,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Είναι στο πλαίσιο των ελευθεριών των γονέων να επιλέξουν το φύλο του παιδιού,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Η επιλογή του φύλου επιτρέπει τον καλύτερο οικογενειακό προγραμματισμό,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Η επιλογή του φύλου αποτρέπει τις ασθένειες στο παιδί,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Η επιλογή του φύλου θα αποτρέψει τις αμβλώσεις/βρεφοκτονίες,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Η επιλογή του φύλου κάνει την οικογένεια πιο ευτυχισμένη/ολοκληρωμένη,Πρέπει να νομιμοποιήσουμε την επιλογή φύλου
Το κάψιμο σημαιών είναι ένα αποτελεσματικό εργαλείο έκφρασης/διαμαρτυρίας/κριτικής,Πρέπει να απαγορεύσουμε το κάψιμο σημαιών
Το κάψιμο σημαιών δικαιολογείται λόγω της ελευθερίας της έκφρασης,Πρέπει να απαγορεύσουμε το κάψιμο σημαιών
Το κάψιμο σημαιών είναι μια εμπρηστική πράξη,Πρέπει να απαγορεύσουμε το κάψιμο σημαιών
Οι σημαίες είναι σημαντικά σύμβολα που πρέπει να γίνονται σεβαστά,Πρέπει να απαγορεύσουμε το κάψιμο σημαιών
Πρέπει να υπάρχει ισότητα μεταξύ ανδρών και γυναικών.,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Οι γυναίκες είναι ένα πλεονέκτημα στη μάχη,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Οι γυναίκες μπορούν να δημιουργήσουν μοναδικές δεξιότητες/στρατηγικές,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Οι γυναίκες μπορούν να ξεπεράσουν τις διαφορές και να είναι εξίσου ικανές στη μάχη,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Οι γυναίκες θα πρέπει να μπορούν να υπηρετούν σε μάχη αν το επιλέξουν,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Οι γυναίκες πρέπει να γίνονται δεκτές αρκεί να περάσουν τις εξετάσεις,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Οι άνδρες είναι πιο κατάλληλοι για ρόλους μάχης από τις γυναίκες,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Οι γυναίκες δεν μπορούν να ξεπεράσουν τα σωματικά/συναισθηματικά/ψυχικά εμπόδια,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Οι γυναίκες στη μάχη μπορούν να αποσπάσουν την προσοχή ή να βλάψουν τη λειτουργία του στρατού,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Οι γυναίκες θα πρέπει να υπηρετούν σε ασφαλέστερους ρόλους,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
