key_point_predicted,topic,stance
"Δεν χρειάζεται να εμβολιαστείτε, καθώς υπάρχουν σοβαρές παρενέργειες",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,-1
Ο εμβολιασμός των παιδιών θα πρέπει να είναι υποχρεωτικός γιατί προστατεύει αυτόν τον ευάλωτο πληθυσμό από καταστροφικές ασθένειες,Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1
"ναι, καθώς προστατεύουν τα παιδιά από ασθένειες απειλητικές για τη ζωή και άκρως μολυσματικές",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1
"Εάν δεν εμβολιάσουμε τα παιδιά, τότε δεν θα μπορέσουμε ποτέ να εξαλείψουμε πλήρως τις ασθένειες από τον πληθυσμό.",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1
Προλαμβάνει ασθένειες της νεαρής ηλικίας που μπορούν να αποφευχθούν με την χορήγηση εμβολίων,Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1
"Θα πρέπει να είναι υποχρεωτικά στα παιδιά, γιατί αυτά είναι πιο ευάλωτα",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1
"Μόνο το καθαρό νερό, το οποίο θεωρείται βασικό ανθρώπινο δικαίωμα, αποδίδει καλύτερα.",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1
"Αν ο ιός πρόκειται να εξαπλωθεί ολοκληρωτικά, τότε ολόκληρος ο πληθυσμός θα πρέπει να εμβολιαστεί",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1
"αν δεν ήταν υποχρεωτικό να εμβολιάζουμε τα παιδιά μας, γρήγορα θα παύαμε να υπάρχουμε...",Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1
Πρέπει να είναι υποχρεωτικοί για την αποφυγή περισσότερων λοιμώξεων,Οι παιδικοί εμβολιασμοί ρουτίνας θα πρέπει να είναι υποχρεωτικοί,1
το γεγονός ότι η κυβέρνηση ρυθμίζει τις πλατφόρμες κοινωνικής δικτύωσης υπονομεύει την ελευθερία έκφρασης και σκέψης,Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1
"Η πλατφόρμα κοινωνικής δικτύωσης δεν θα πρέπει να ρυθμίζεται από την κυβέρνηση, γιατί έτσι εισβάλλει στην ιδιωτική ζωή",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1
Οι άνθρωποι θα πρέπει να μπορούν να εκφράζονται ελεύθερα στα μέσα κοινωνικής δικτύωσης χωρίς η κυβέρνηση να παρεμβαίνει στις συζητήσεις τους,Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1
"Με την παρέμβαση του κράτους σε συτά, αυτό αλλάζει και οι μόνοι φόβοι πλέον είναι η πολιτική λογοκρισία και η ελευθερία έκφρασης",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1
"Δεν θα έπρεπε, γιατί έτσι δεν θα είχαμε ελευθερία έκφρασης.",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1
"Είναι αδύνατο να παραβιάσουμε το δικαίωμά μας στην επικοινωνία, επιτρέποντας την ρύθμιση των κοινωνικών πλατφόρμων.",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1
"Δεν θα πρέπει να ρυθμίζονται, επειδή είναι ιδιωτικές εταιρείες και αυτό θα ήταν ενάντια στην ελευθερία της έκφρασης.",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,-1
"πρέπει να ρυθμίζονται για να ελέγχουν το μίσος, τον ρατσισμό καθώς και τη διάδοση ψευδών ειδήσεων που μπορούν να μεταβάλλουν τον πληθυσμό",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1
"Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση, ώστε να αποτρέπουμε τους εγκληματίες να επηρεάζουν τα μυαλά των ανθρώπων.",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1
"Υπάρχουν πολλοί υφιστάμενοι κίνδυνοι στα κοινωνικά δίκτυα, θα πρέπει να ασκούνται νόμοι στο θέμα αυτό",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1
"Γι αυτό πρέπει να ελέγχονται, για να περιοριστούν όλα αυτά",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1
"Προσωπικά πιστεύω πρέπει να ρυθμιστούν, γιατί αυτές οι πλατφόρμες έχουν αρνητική επιρροή στους ανθρώπους.",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1
"αν κρίνεται απαραίτητο, για να μπορούμε να ελέγχουμε τις καταχρήσεις που γίνονται",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1
"Με την προϋπόθεση ότι η κυβέρνηση θεσπίζει στα κοινωνικά δίκτυα καλούς κανόνες, οι οποίοι μπορούν να τηρηθούν",Οι πλατφόρμες κοινωνικής δικτύωσης θα πρέπει να ρυθμίζονται από την κυβέρνηση,1
